,name,ymin,ymax,xmin,xmax,src,tree_name
58,Cinnamomum Iners,6263,6502,3628,3776,18Dec2020,Cinnamomum Iners #2
59,Clausena Excavata,6275,6404,3840,3924,18Dec2020,Clausena Excavata #2
60,Cinnamomum Iners,5911,6186,3955,4176,18Dec2020,Cinnamomum Iners #3
61,Alstonia Angulstiloba,5430,5666,3777,4036,18Dec2020,Alstonia Angulstiloba #2
62,Spathodea Campanulatum,4691,4928,3673,3923,18Dec2020,Spathodea Campanulatum #6
63,Clausena Excavata,3983,4156,2938,3170,18Dec2020,Clausena Excavata #3
64,Syzygium Polyanthum,3827,3968,3127,3294,18Dec2020,Syzygium Polyanthum #2
65,Sandoricum Koetjape,3273,3699,2923,3197,18Dec2020,Sandoricum Koetjape #1
66,Sterculia Parviflora,3102,3258,3085,3247,18Dec2020,Sterculia Parviflora #4
67,Alstonia Angulstiloba,2855,3102,3387,3608,18Dec2020,Alstonia Angulstiloba #3
68,Claoxylon Indicum,2221,2392,2843,2950,18Dec2020,Claoxylon Indicum #1
69,Bridelia Sp.,1997,2166,2917,3159,18Dec2020,Bridelia Sp. #3
70,Pometia Pinnata,2316,2413,3401,3494,18Dec2020,Pometia Pinnata #1
71,Sterculia Parviflora,2383,2503,3551,3674,18Dec2020,Sterculia Parviflora #5
72,Calophyllum,2571,2638,3439,3511,18Dec2020,Calophyllum #1
73,Pennisetum Purpureum,2215,2493,3100,3327,18Dec2020,Pennisetum Purpureum #1
74,Sterculia Parviflora,2659,2783,3585,3724,18Dec2020,Sterculia Parviflora #6
75,Campnosperma Auriculatum,671,1006,3777,4026,18Dec2020,Campnosperma Auriculatum #1
76,Dillenia Suffruticosa,2931,2996,4064,4172,18Dec2020,Dillenia Suffruticosa #1
77,Sterculia Parviflora,3178,3319,3629,3756,18Dec2020,Sterculia Parviflora #7
78,Ficus Variegata,6466,6845,3372,3571,18Dec2020,Ficus Variegata #3
79,Spathodea Campanulatum,1369,1776,2571,2849,18Dec2020,Spathodea Campanulatum #7
